gender,marital_status,city,education_level,department,income_class,age,years_experience,weekly_hours,bonus_percentage,performance_score,overtime_hours,monthly_income,predicted_income,income_gap,gap_flag
Male,Married,Surabaya,S1,HR,Low,26.0,8.0,40.0,11.9,86.1,3.0,7807,7597.608735795544,209.3912642044561,Fair
Other,Married,Surabaya,SMA,Finance,Low,48.0,7.0,31.9,18.5,55.5,12.1,7431,6386.670930734226,1044.3290692657738,Overpaid
Female,Married,Bandung,SMA,IT,Low,42.0,5.0,33.9,9.9,72.6,4.1,4963,5824.9592705228,-861.9592705227997,Underpaid
Female,Single,Surabaya,S1,Finance,High,35.0,8.0,45.5,9.9,65.8,12.2,10206,9539.10588230787,666.8941176921307,Overpaid
Female,Married,Surabaya,SMA,HR,Low,47.0,1.0,34.1,9.6,62.9,12.9,3849,4291.585107490575,-442.58510749057496,Fair
Female,Single,Jakarta,S1,IT,Low,36.0,6.0,30.9,9.9,74.3,6.3,5221,6045.14412372925,-824.1441237292502,Underpaid
Female,Single,Bandung,S1,Sales,Low,28.0,8.0,49.3,9.9,82.0,14.8,8966,8475.424015645001,490.5759843549986,Fair
Male,Single,Surabaya,S2,IT,High,47.0,13.0,33.0,10.4,78.0,9.8,10540,10313.409422546481,226.59057745351856,Fair
Female,Married,Surabaya,D3,Marketing,High,35.0,10.0,40.9,10.3,68.1,2.6,9612,9741.42985002541,-129.4298500254099,Fair
Male,Single,Surabaya,SMA,IT,High,27.0,14.0,40.3,10.1,73.5,9.8,11191,11357.934587980466,-166.93458798046595,Fair
Male,Married,Bandung,S1,Sales,High,33.0,17.0,25.9,8.0,84.3,5.4,11972,11383.105691380077,588.8943086199233,Overpaid
Male,Married,Surabaya,S1,Marketing,High,28.0,10.0,38.7,9.6,81.8,12.5,12183,9638.418068413106,2544.581931586894,Overpaid
Female,Single,Surabaya,S2,Finance,High,24.0,12.0,42.2,9.9,69.5,12.1,11046,10843.517853761687,202.48214623831336,Fair
Male,Married,Surabaya,D3,IT,Low,42.0,10.0,41.8,10.0,68.8,11.9,8901,8316.91834090167,584.0816590983304,Overpaid
Female,Married,Jakarta,D3,Finance,Low,50.0,5.0,44.5,12.8,57.8,11.9,6669,6694.1171758727905,-25.11717587279054,Fair
Female,Divorced,Bandung,S2,IT,High,24.0,14.0,38.1,15.3,70.7,5.1,10599,11240.845110808676,-641.8451108086756,Underpaid
Male,Single,Surabaya,SMA,HR,High,40.0,18.0,43.6,9.9,57.6,9.8,12862,13080.461507531238,-218.46150753123766,Fair
Male,Married,Bandung,D3,Sales,High,31.0,20.0,32.9,7.5,66.4,12.4,13289,13034.914755542106,254.08524445789408,Fair
Male,Divorced,Jakarta,SMA,HR,Low,30.0,10.0,33.5,10.6,86.1,3.3,6006,7908.680185342964,-1902.6801853429643,Underpaid
Female,Married,Jakarta,D3,Marketing,Low,28.0,4.0,32.7,8.4,93.2,5.1,4764,5441.397972691424,-677.397972691424,Underpaid
Female,Married,Bandung,SMA,Marketing,High,35.0,14.0,45.0,10.7,77.2,13.3,10518,11670.860497918426,-1152.8604979184256,Underpaid
Male,Single,Surabaya,S1,IT,High,28.0,11.0,32.4,13.3,74.0,0.0,9388,9569.197184431036,-181.19718443103557,Fair
Female,Single,Surabaya,S2,Finance,High,37.0,17.0,41.4,9.9,61.8,11.7,12709,12588.84464205594,120.1553579440606,Fair
Female,Single,Jakarta,SMA,Marketing,Low,35.0,10.0,38.7,9.9,70.0,3.3,8181,8149.259626044066,31.740373955934047,Fair
Male,Married,Bandung,S1,IT,Low,33.0,6.0,40.0,8.6,91.0,5.7,7731,6802.6720382039,928.3279617960998,Overpaid
Female,Married,Bandung,SMA,Finance,Low,28.0,9.0,46.8,9.9,78.5,2.9,8903,8565.525357790691,337.4746422093085,Fair
Male,Single,Surabaya,S1,HR,Low,30.0,2.0,37.8,7.3,75.3,11.2,6305,5136.069526719878,1168.930473280122,Overpaid
Female,Married,Jakarta,SMA,IT,Low,41.0,4.0,43.1,13.6,88.1,15.6,5356,6280.522367392869,-924.5223673928685,Underpaid
Male,Single,Surabaya,S2,Finance,High,39.0,15.0,40.2,12.7,82.0,11.7,10938,11802.431666439757,-864.4316664397575,Underpaid
Female,Married,Bandung,S1,Sales,High,27.0,14.0,39.2,11.7,73.5,12.3,11052,11340.86311249204,-288.86311249203936,Fair
Male,Married,Bandung,S1,Sales,High,36.0,12.0,40.0,9.9,77.2,10.8,12508,10611.810679572187,1896.189320427813,Overpaid
Female,Married,Surabaya,S1,Marketing,Low,41.0,1.0,32.8,9.9,67.3,13.4,3066,4133.1436193299,-1067.1436193298996,Underpaid
Male,Single,Surabaya,S1,Finance,Low,22.0,8.0,46.4,8.1,69.4,12.3,9021,8159.433799855162,861.5662001448381,Overpaid
Male,Married,Bandung,S2,Sales,Low,39.0,4.0,43.3,12.3,72.9,3.6,5164,6312.711573707041,-1148.7115737070408,Underpaid
Female,Divorced,Jakarta,S1,Marketing,High,30.0,16.0,37.6,9.9,80.6,14.5,12677,11925.095214236033,751.9047857639671,Overpaid
Female,Married,Bandung,S2,IT,Low,40.0,7.0,48.1,14.3,62.5,14.0,7663,7729.308367428614,-66.30836742861356,Fair
Female,Single,Jakarta,S1,IT,Low,29.0,5.0,30.8,9.0,75.8,8.2,6195,5691.577211274107,503.42278872589304,Overpaid
Other,Married,Surabaya,SMA,Finance,High,21.0,10.0,37.4,11.5,71.1,0.1,9410,9634.01055712423,-224.0105571242293,Fair
Female,Married,Surabaya,S1,Finance,Low,35.0,7.0,34.0,16.3,66.0,11.2,5080,6663.067911360198,-1583.0679113601982,Underpaid
Female,Single,Jakarta,SMA,Finance,High,35.0,17.0,40.0,9.9,71.2,11.6,12915,12551.322408169068,363.6775918309322,Fair
Male,Single,Bandung,S1,Finance,Low,37.0,6.0,34.4,10.2,51.8,7.8,5938,6316.213149465623,-378.21314946562325,Fair
Male,Married,Bandung,D3,Sales,Low,28.0,3.0,42.2,13.2,67.4,10.9,6215,5874.290763078822,340.70923692117776,Fair
Other,Married,Jakarta,S1,Sales,Low,40.0,1.0,39.1,9.9,64.0,9.8,3533,4780.43421909449,-1247.43421909449,Underpaid
Male,Single,Jakarta,SMA,Sales,Low,34.0,7.0,41.9,8.4,52.2,10.7,8893,7326.727245791538,1566.2727542084622,Overpaid
Female,Married,Jakarta,D3,IT,Low,25.0,3.0,38.7,9.3,76.9,11.7,6487,5546.956754509009,940.0432454909906,Overpaid
Female,Single,Bandung,S2,Marketing,High,30.0,16.0,34.6,9.9,84.1,5.9,10462,11673.950229403697,-1211.9502294036974,Underpaid
Female,Divorced,Surabaya,D3,Sales,High,35.0,13.0,54.0,9.2,73.8,7.5,13697,12182.646118410961,1514.3538815890388,Overpaid
Female,Single,Bandung,D3,Finance,Low,28.0,10.0,37.6,10.2,80.0,9.3,6174,8258.33516749432,-2084.3351674943206,Underpaid
Male,Single,Jakarta,S1,Sales,High,32.0,17.0,28.9,9.9,69.9,15.9,11606,11642.385309514295,-36.38530951429493,Fair
Female,Single,Bandung,S1,HR,Low,43.0,13.0,35.8,9.9,59.5,14.1,8794,9073.434879075952,-279.43487907595227,Fair
Male,Married,Jakarta,SMA,Marketing,Low,30.0,6.0,33.7,10.5,75.0,19.6,6738,6204.356091051084,533.6439089489159,Overpaid
Female,Single,Jakarta,D3,Sales,Low,42.0,5.0,44.1,9.9,81.8,9.8,6651,6848.083514224578,-197.0835142245778,Fair
Male,Married,Jakarta,SMA,Sales,High,26.0,14.0,41.6,7.1,61.8,3.4,10143,11468.264792397198,-1325.264792397198,Underpaid
Female,Married,Jakarta,S2,IT,High,39.0,12.0,42.0,4.0,70.3,15.5,9462,10641.81719971195,-1179.8171997119498,Underpaid
Female,Married,Bandung,SMA,Finance,Low,47.0,11.0,38.1,7.5,72.5,17.2,8528,8510.240349968226,17.759650031774072,Fair
Female,Single,Jakarta,D3,Finance,Low,15.0,6.0,38.6,12.4,103.5,10.2,6937,6974.9888027465795,-37.988802746579495,Fair
Female,Single,Bandung,SMA,IT,High,29.0,13.0,38.1,9.9,77.2,12.3,11289,10846.801791644404,442.19820835559585,Fair
Female,Single,Bandung,SMA,IT,Low,40.0,6.0,39.6,12.1,55.9,6.3,8918,6678.620304602802,2239.379695397198,Overpaid
Male,Married,Surabaya,S1,HR,Low,33.0,9.0,44.2,11.7,53.5,11.7,8747,8165.452760989223,581.547239010777,Overpaid
Female,Married,Bandung,SMA,Marketing,High,38.0,10.0,41.7,9.9,82.3,5.5,12967,9885.36516771896,3081.634832281041,Overpaid
Male,Single,Surabaya,SMA,Finance,Low,30.0,7.0,42.5,12.3,99.9,10.9,8936,7561.803875077052,1374.196124922948,Overpaid
Female,Married,Surabaya,D3,IT,Low,36.0,2.0,42.5,9.9,72.2,9.8,4801,5387.968152655527,-586.9681526555269,Underpaid
Male,Single,Surabaya,SMA,IT,Low,34.0,10.0,44.4,15.4,71.6,17.1,6159,8650.556724671034,-2491.5567246710343,Underpaid
Male,Married,Bandung,SMA,Marketing,High,44.0,15.0,41.4,9.9,79.3,14.0,13593,11714.931162873178,1878.0688371268225,Overpaid
Male,Divorced,Surabaya,S1,IT,High,37.0,11.0,41.8,9.9,67.0,9.7,9500,10289.780267959111,-789.7802679591114,Underpaid
Female,Single,Jakarta,S1,HR,High,38.0,9.0,45.9,12.6,49.6,7.5,9312,9873.519966905411,-561.5199669054109,Underpaid
Male,Married,Bandung,S2,Marketing,Low,32.0,7.0,36.7,12.2,85.4,13.8,5564,6864.20439320995,-1300.2043932099496,Underpaid
Male,Married,Jakarta,S1,HR,Low,31.0,12.0,35.7,4.0,68.9,10.1,9048,8685.13439369276,362.86560630723943,Fair
Female,Married,Bandung,S1,Sales,Low,32.0,6.0,34.1,12.8,85.5,10.3,8294,6410.996751078103,1883.0032489218966,Overpaid
Male,Married,Surabaya,SMA,Finance,High,38.0,12.0,40.9,9.9,67.4,9.8,10554,10603.282790371977,-49.28279037197717,Fair
Female,Married,Surabaya,S1,IT,Low,32.0,6.0,30.7,9.9,76.2,6.4,6044,5965.000563480258,78.99943651974172,Fair
Female,Single,Bandung,S1,Marketing,Low,37.0,6.0,42.3,5.6,83.5,13.8,8625,6972.266659770898,1652.7333402291024,Overpaid
Female,Married,Surabaya,S1,HR,Low,52.0,7.0,39.5,10.0,85.7,9.8,5800,7078.899179160607,-1278.8991791606068,Underpaid
Male,Married,Jakarta,S1,Finance,Low,42.0,8.0,45.7,9.9,77.3,11.3,8153,8024.155542027965,128.84445797203534,Fair
Male,Divorced,Jakarta,SMA,Finance,High,35.0,10.0,36.6,9.9,76.8,12.1,10939,9647.34061829344,1291.6593817065605,Overpaid
Male,Married,Surabaya,S1,IT,High,45.0,11.0,39.0,5.6,81.2,12.4,9348,10000.976391589902,-652.976391589902,Underpaid
Male,Single,Bandung,S1,Finance,Low,35.0,8.0,45.6,11.5,79.6,9.8,8504,8119.307794985538,384.69220501446216,Fair
Male,Married,Bandung,S2,IT,Low,19.0,6.0,46.9,12.6,62.1,13.1,8871,7321.746098498614,1549.2539015013863,Overpaid
Female,Married,Jakarta,SMA,Sales,Low,27.0,8.0,36.6,10.6,62.3,6.9,8909,7292.992276790892,1616.007723209108,Overpaid
Female,Married,Surabaya,SMA,IT,High,35.0,18.0,40.9,13.5,53.9,2.7,11789,12765.09981567293,-976.0998156729293,Underpaid
Male,Married,Surabaya,SMA,HR,Low,32.0,5.0,41.5,9.7,82.7,5.6,7075,6543.654731339513,531.3452686604869,Overpaid
Male,Divorced,Jakarta,S1,Finance,High,35.0,11.0,41.9,9.9,71.0,13.6,11443,10437.02668988071,1005.9733101192905,Overpaid
Female,Single,Bandung,SMA,Finance,High,48.0,17.0,38.7,7.2,83.2,9.8,11726,12435.847059025798,-709.8470590257984,Underpaid
Male,Single,Surabaya,SMA,Finance,Low,38.0,3.0,46.4,9.9,79.0,4.8,5768,6239.04617761613,-471.0461776161301,Fair
Female,Married,Bandung,S2,IT,Low,33.0,12.0,40.0,15.6,65.0,4.8,9084,8996.075273598548,87.92472640145206,Fair
Male,Married,Bandung,SMA,Marketing,Low,42.0,6.0,37.9,13.4,73.8,9.8,7484,6499.132074942168,984.8679250578316,Overpaid
Female,Married,Jakarta,S1,IT,Low,17.0,7.0,42.2,5.8,70.5,4.3,6296,7344.324735924506,-1048.324735924506,Underpaid
Female,Married,Bandung,D3,HR,Low,37.0,6.0,42.3,10.5,68.9,15.0,4116,6959.198805219924,-2843.198805219924,Underpaid
Female,Married,Jakarta,S1,IT,Low,41.0,6.0,46.8,9.7,84.2,6.4,7892,7310.500758643983,581.4992413560167,Overpaid
Male,Single,Surabaya,S1,Finance,High,23.0,24.0,46.0,9.9,100.1,1.3,17765,15818.28403565024,1946.7159643497598,Overpaid
Male,Married,Bandung,S2,Finance,High,44.0,14.0,38.6,8.8,86.2,9.8,10545,11249.904935856737,-704.9049358567372,Underpaid
Female,Single,Jakarta,S2,HR,High,38.0,16.0,46.5,9.9,74.7,12.6,12040,12674.338637206663,-634.3386372066634,Underpaid
Female,Married,Jakarta,SMA,Sales,High,32.0,12.0,36.4,9.9,87.6,0.8,9476,10377.659683709253,-901.6596837092529,Underpaid
Female,Divorced,Bandung,SMA,HR,Low,40.0,2.0,40.0,9.9,92.1,14.8,7063,5410.744191969811,1652.2558080301887,Overpaid
Female,Single,Jakarta,SMA,HR,High,53.0,12.0,49.1,9.6,61.1,2.8,10241,11251.481213451154,-1010.481213451154,Underpaid
Male,Single,Surabaya,S1,Finance,High,36.0,10.0,46.1,9.9,87.2,8.0,12678,10417.152858527113,2260.8471414728865,Overpaid
Male,Single,Bandung,S1,IT,Low,37.0,6.0,40.5,12.8,82.7,8.0,5899,6864.314344698954,-965.3143446989543,Underpaid
Male,Single,Surabaya,D3,Finance,High,31.0,15.0,38.3,11.4,86.9,7.2,10228,11695.43126076085,-1467.43126076085,Underpaid
Female,Single,Jakarta,S1,Finance,High,28.0,14.0,32.4,9.9,83.1,9.7,11081,10863.535188196742,217.46481180325827,Fair
Male,Married,Surabaya,SMA,Finance,High,42.0,19.0,41.6,9.9,72.7,13.9,15290,13322.219818450438,1967.7801815495623,Overpaid
Male,Married,Jakarta,S1,Sales,Low,28.0,8.0,34.4,9.9,95.3,9.8,8331,7230.423771441423,1100.576228558577,Overpaid
Female,Single,Jakarta,S2,HR,Low,36.0,5.0,36.0,9.9,78.4,7.0,4050,6153.965703191833,-2103.965703191833,Underpaid
Female,Married,Surabaya,SMA,Marketing,Low,31.0,8.0,34.0,9.9,70.7,12.3,6985,6941.6668948100105,43.33310518998951,Fair
Female,Divorced,Bandung,D3,IT,High,39.0,17.0,37.7,6.8,80.1,11.0,12509,12308.370069073571,200.62993092642864,Fair
Female,Single,Bandung,SMA,Finance,Low,38.0,1.0,39.9,8.8,84.7,6.7,4546,5009.550554916557,-463.5505549165573,Fair
Other,Married,Bandung,S1,HR,Low,43.0,0.0,40.0,9.9,75.9,10.2,2217,4478.429306584492,-2261.429306584492,Underpaid
Male,Single,Surabaya,S1,IT,Low,31.0,10.0,40.0,9.9,78.9,6.2,7403,8310.147598968775,-907.1475989687751,Underpaid
Male,Single,Surabaya,SMA,Marketing,Low,33.0,8.0,45.3,9.9,75.9,5.7,7733,7928.660804569597,-195.66080456959662,Fair
Female,Married,Surabaya,D3,Marketing,Low,27.0,10.0,39.0,9.9,68.4,14.0,8828,8117.535884295292,710.4641157047081,Overpaid
Male,Single,Surabaya,D3,Finance,High,31.0,15.0,36.1,4.9,66.8,12.2,9172,11421.39364814844,-2249.3936481484398,Underpaid
Male,Single,Bandung,S1,Marketing,Low,38.0,7.0,41.1,6.1,61.0,13.9,8213,7148.959711333223,1064.040288666777,Overpaid
Male,Single,Bandung,S1,Marketing,Low,41.0,1.0,49.8,9.9,90.2,13.2,5389,5703.052824724382,-314.05282472438194,Fair
Female,Divorced,Jakarta,SMA,Finance,High,28.0,20.0,41.7,9.4,72.8,5.6,13124,13874.624220813188,-750.624220813188,Underpaid
Male,Married,Bandung,S1,Finance,Low,46.0,5.0,32.4,6.4,79.0,8.5,4296,5778.440169769544,-1482.440169769544,Underpaid
Male,Married,Bandung,D3,HR,High,38.0,16.0,38.9,9.7,78.8,14.6,11838,12003.12396824898,-165.1239682489795,Fair
Male,Single,Bandung,SMA,Finance,Low,50.0,8.0,41.2,11.2,56.3,9.4,6317,7603.260971063872,-1286.2609710638717,Underpaid
Female,Single,Bandung,S1,Sales,Low,29.0,10.0,38.1,6.5,66.7,11.6,7151,8238.156807796198,-1087.1568077961983,Underpaid
Other,Single,Bandung,S2,Marketing,Low,25.0,12.0,31.7,9.9,66.2,11.7,8713,8347.17878524061,365.8212147593895,Fair
Female,Single,Bandung,SMA,HR,High,21.0,15.0,35.7,9.9,67.6,9.8,10358,11453.375120657993,-1095.3751206579927,Underpaid
Other,Single,Surabaya,D3,IT,High,47.0,8.0,47.3,5.2,87.1,1.8,9112,9608.511123885966,-496.5111238859663,Fair
Male,Single,Jakarta,SMA,Sales,High,40.0,18.0,47.2,9.9,73.5,2.1,13698,13500.187171876833,197.8128281231675,Fair
Female,Single,Jakarta,S1,Sales,Low,35.0,1.0,35.6,11.2,70.7,13.4,6157,4621.17231433418,1535.8276856658204,Overpaid
Male,Single,Surabaya,SMA,Finance,High,37.0,14.0,43.4,9.9,86.2,11.8,11071,11708.069133692607,-637.0691336926066,Underpaid
Female,Married,Bandung,D3,IT,Low,26.0,6.0,34.1,9.9,80.0,6.1,3111,6316.0967359211545,-3205.0967359211545,Underpaid
Male,Single,Surabaya,S1,HR,High,55.0,17.0,47.0,10.8,57.6,11.8,11168,12920.394898242408,-1752.394898242408,Underpaid
Female,Divorced,Bandung,S1,IT,Low,36.0,11.0,41.2,16.6,68.8,3.0,8426,8796.44196415065,-370.44196415065016,Fair
Male,Married,Bandung,D3,Sales,High,41.0,13.0,31.4,9.9,65.7,16.6,9606,10222.027329991233,-616.0273299912333,Underpaid
Female,Divorced,Bandung,S1,Marketing,High,39.0,10.0,43.4,9.9,95.3,13.1,12447,10151.593864901344,2295.406135098656,Overpaid
Female,Single,Bandung,SMA,Finance,High,37.0,13.0,40.0,9.9,76.1,10.4,11503,11048.756175302644,454.2438246973561,Fair
Female,Married,Surabaya,SMA,Sales,Low,29.0,5.0,44.3,9.9,67.5,6.9,5659,6771.136844717013,-1112.1368447170134,Underpaid
Female,Married,Surabaya,S1,Marketing,Low,39.0,8.0,44.6,10.0,63.8,3.4,6664,7744.422845620446,-1080.4228456204464,Underpaid
Male,Divorced,Jakarta,SMA,HR,High,50.0,10.0,40.3,9.1,84.3,9.4,9675,9885.782266087901,-210.782266087901,Fair
Female,Married,Bandung,S1,Finance,Low,46.0,10.0,37.0,12.2,68.5,5.7,6479,8030.527190652821,-1551.5271906528214,Underpaid
Male,Single,Surabaya,S2,HR,High,35.0,14.0,43.9,9.9,78.8,6.0,12368,11689.718436449455,678.2815635505449,Overpaid
Female,Married,Surabaya,SMA,Finance,Low,31.0,0.0,39.7,9.9,63.5,2.9,3853,4466.101877217964,-613.1018772179641,Underpaid
Female,Married,Bandung,D3,IT,High,27.0,12.0,35.6,9.9,75.7,11.2,10180,10203.087595236892,-23.087595236891502,Fair
Female,Single,Bandung,S1,HR,Low,34.0,9.0,40.0,9.9,68.6,8.1,8343,7972.019022774464,370.98097722553575,Fair
Male,Married,Surabaya,S1,Finance,Low,35.0,6.0,32.6,17.6,71.8,12.7,6618,6186.598274460937,431.4017255390627,Fair
Male,Married,Bandung,S2,HR,Low,44.0,6.0,37.4,9.9,67.0,12.3,6849,6505.747373719962,343.2526262800384,Fair
Male,Single,Surabaya,S1,Finance,High,21.0,9.0,45.5,8.2,85.3,11.1,9333,10040.328360375728,-707.3283603757282,Underpaid
Male,Married,Jakarta,SMA,HR,Low,47.0,8.0,40.0,6.6,70.1,23.3,8135,7476.901443386734,658.0985566132658,Overpaid
Female,Married,Jakarta,D3,Marketing,Low,32.0,10.0,40.0,9.9,74.0,3.7,7009,8224.016848443418,-1215.016848443418,Underpaid
Male,Single,Jakarta,D3,HR,High,27.0,13.0,35.8,12.0,91.1,12.3,12254,10766.651510776046,1487.348489223954,Overpaid
Female,Married,Jakarta,SMA,Marketing,Low,22.0,6.0,40.5,9.9,83.9,9.7,7362,6834.150621595838,527.849378404162,Overpaid
Male,Married,Bandung,SMA,HR,High,35.0,9.0,39.1,10.0,82.9,3.3,9553,9389.613628167679,163.38637183232095,Fair
Male,Married,Jakarta,S1,IT,High,36.0,18.0,43.9,6.5,59.2,2.9,12406,13029.439258478402,-623.4392584784018,Underpaid
Female,Divorced,Surabaya,D3,Marketing,High,25.0,15.0,40.0,10.4,68.4,12.3,9711,11686.750189480917,-1975.7501894809175,Underpaid
Female,Single,Surabaya,D3,Finance,High,25.0,15.0,35.7,9.9,86.9,13.5,9871,11516.465661754995,-1645.4656617549954,Underpaid
Female,Single,Bandung,D3,HR,Low,35.0,8.0,31.8,9.9,63.3,4.8,5849,6892.9867972285465,-1043.9867972285465,Underpaid
Male,Married,Bandung,S1,HR,Low,48.0,13.0,40.0,15.1,75.8,14.9,8748,9406.875277778481,-658.8752777784812,Underpaid
Male,Married,Jakarta,S1,Finance,High,33.0,9.0,46.1,7.5,64.3,11.4,9339,9922.37425788175,-583.3742578817491,Underpaid
Female,Married,Bandung,SMA,IT,Low,23.0,10.0,37.5,10.9,65.4,16.0,7891,8073.980773991385,-182.98077399138492,Fair
Female,Married,Surabaya,SMA,Sales,High,33.0,12.0,40.0,9.9,91.8,15.4,10620,10666.684962401492,-46.68496240149216,Fair
Other,Married,Surabaya,SMA,HR,Low,33.0,7.0,44.4,9.8,82.2,9.2,7625,7530.248777170662,94.75122282933808,Fair
Male,Single,Surabaya,S2,Finance,High,13.0,17.0,45.3,9.9,84.8,18.2,10631,13094.623937133041,-2463.623937133041,Underpaid
Female,Married,Surabaya,S1,HR,Low,33.0,13.0,40.0,14.1,73.6,22.0,8812,9439.817868385044,-627.8178683850438,Underpaid
Female,Married,Bandung,S1,Marketing,High,35.0,17.0,34.6,9.5,68.1,5.6,12176,11907.970052851746,268.029947148254,Fair
Male,Divorced,Jakarta,D3,Finance,High,50.0,15.0,46.9,11.6,71.0,9.8,11418,12305.479835183622,-887.4798351836216,Underpaid
Female,Single,Surabaya,S1,Marketing,Low,44.0,3.0,50.7,12.0,73.1,7.2,6807,6433.486536752343,373.51346324765655,Fair
Female,Married,Jakarta,S1,IT,Low,33.0,10.0,42.6,8.1,92.8,8.1,8817,8547.054889717387,269.9451102826133,Fair
Female,Single,Surabaya,SMA,Sales,High,26.0,14.0,29.6,9.9,61.6,24.6,10736,10542.100289705624,193.89971029437584,Fair
Male,Married,Surabaya,SMA,Finance,High,56.0,14.0,37.2,9.9,69.5,7.7,10758,10991.378818854468,-233.37881885446768,Fair
Female,Married,Surabaya,S1,HR,Low,35.0,4.0,43.1,9.9,65.9,14.3,5962,6228.7610730188135,-266.7610730188135,Fair
Other,Single,Jakarta,S2,HR,Low,35.0,7.0,37.9,16.4,85.6,8.8,5595,7101.60673438116,-1506.60673438116,Underpaid
Female,Divorced,Surabaya,D3,Sales,High,35.0,10.0,46.4,9.9,93.5,14.7,13947,10506.856670869649,3440.143329130351,Overpaid
Female,Married,Jakarta,S1,Marketing,Low,37.0,6.0,42.9,9.9,78.1,7.3,6387,6942.935344937372,-555.9353449373721,Underpaid
Female,Divorced,Bandung,S1,Marketing,Low,34.0,9.0,36.5,9.9,78.9,11.3,8410,7651.115054017502,758.8849459824978,Overpaid
Female,Single,Surabaya,SMA,Finance,High,30.0,18.0,40.2,16.6,75.9,13.1,12067,12974.358340550623,-907.3583405506233,Underpaid
Male,Married,Surabaya,SMA,Finance,High,31.0,10.0,35.5,4.3,79.4,9.8,12331,9466.13023255652,2864.8697674434807,Overpaid
Male,Married,Jakarta,SMA,Finance,Low,35.0,6.0,40.0,9.9,82.7,23.8,7058,6857.709384508165,200.29061549183461,Fair
Female,Married,Surabaya,S1,Finance,Low,31.0,6.0,37.2,9.9,79.3,13.4,6108,6603.775783268073,-495.7757832680727,Fair
Male,Married,Bandung,SMA,Marketing,High,29.0,12.0,45.9,10.1,80.0,8.9,11193,11008.723073839525,184.27692616047534,Fair
Female,Married,Surabaya,D3,Sales,Low,36.0,3.0,50.6,11.1,82.8,6.5,7308,6565.15952592414,742.8404740758597,Overpaid
Female,Married,Bandung,S1,Finance,Low,33.0,9.0,32.8,7.8,57.2,10.5,8179,7306.618208757171,872.3817912428294,Overpaid
Female,Single,Bandung,S1,Marketing,Low,47.0,12.0,30.4,9.9,75.0,3.9,8715,8198.382532457208,516.6174675427919,Overpaid
Female,Married,Surabaya,SMA,Finance,High,14.0,16.0,38.8,9.6,78.1,18.9,12318,12103.259880905207,214.74011909479304,Fair
Male,Married,Surabaya,D3,HR,High,35.0,13.0,32.4,9.9,79.2,12.2,9585,10313.787849850933,-728.7878498509326,Underpaid
Male,Married,Bandung,D3,HR,Low,45.0,6.0,40.2,9.9,73.3,9.6,6998,6757.614965945282,240.38503405471783,Fair
Male,Single,Bandung,S1,IT,High,35.0,16.0,43.7,8.8,76.6,15.2,11589,12404.53279517694,-815.5327951769395,Underpaid
Female,Single,Bandung,S1,Marketing,Low,32.0,10.0,47.5,8.6,67.8,6.4,7784,8875.05197142769,-1091.0519714276907,Underpaid
Other,Single,Surabaya,SMA,IT,Low,32.0,4.0,40.0,9.9,57.3,4.2,6664,5938.502312159293,725.4976878407069,Overpaid
Male,Married,Jakarta,S1,Marketing,Low,24.0,9.0,39.0,4.5,84.8,9.3,9010,7819.540427589417,1190.459572410583,Overpaid
Male,Single,Surabaya,S1,Finance,High,29.0,17.0,30.1,9.9,63.7,10.6,12807,11691.923966741742,1115.0760332582577,Overpaid
Male,Single,Jakarta,S1,Marketing,High,26.0,11.0,40.1,9.9,73.4,12.7,9562,10195.261174714778,-633.2611747147785,Underpaid
Female,Married,Jakarta,S1,HR,Low,49.0,10.0,40.4,6.7,67.5,2.6,8820,8245.04409037721,574.9559096227895,Overpaid
Female,Single,Surabaya,D3,Finance,High,42.0,18.0,43.2,9.9,90.9,7.7,11910,13213.082169612237,-1303.0821696122366,Underpaid
Female,Divorced,Jakarta,SMA,HR,Low,45.0,10.0,36.5,9.9,74.2,5.4,5106,8054.82321714032,-2948.8232171403197,Underpaid
Female,Married,Bandung,S1,Finance,Low,41.0,4.0,37.8,8.2,71.9,4.1,6143,5845.6550157098245,297.3449842901755,Fair
Female,Divorced,Surabaya,S1,Marketing,Low,26.0,2.0,32.6,6.0,82.5,13.6,2441,4685.644560709918,-2244.6445607099176,Underpaid
Male,Single,Jakarta,S1,Marketing,High,31.0,12.0,28.5,10.4,96.6,14.8,9923,9697.802256983485,225.19774301651523,Fair
Male,Single,Bandung,D3,HR,Low,39.0,11.0,40.0,9.9,79.1,4.3,8234,8741.483492406052,-507.4834924060524,Underpaid
Female,Single,Jakarta,S2,Sales,High,35.0,18.0,32.1,8.8,71.2,8.4,12019,12279.117324823106,-260.1173248231062,Fair
Female,Married,Jakarta,S1,Marketing,High,41.0,11.0,41.7,9.8,82.0,10.1,10266,10248.484831706653,17.515168293346505,Fair
Male,Single,Bandung,SMA,Sales,Low,33.0,8.0,37.4,9.9,59.3,9.8,7734,7375.029354871009,358.97064512899124,Fair
Male,Single,Bandung,D3,Finance,High,32.0,10.0,37.3,9.9,75.5,17.6,10134,9701.122610903672,432.87738909632753,Fair
Female,Divorced,Surabaya,S1,Sales,High,41.0,11.0,35.1,9.9,94.9,10.8,9637,9935.8389873897,-298.83898738969947,Fair
Male,Single,Jakarta,S1,HR,Low,39.0,2.0,23.8,10.3,76.6,8.7,3235,3988.320272249269,-753.3202722492688,Underpaid
